,nfe,best_score,elapsed_time,pi_0,pi_1,pi_2,pi_3,pi_4,pi_5,pi_6,pi_7,pi_8,pi_9,probability_SBX,probability_PCX,probability_DE,probability_UNDX,probability_SPX,probability_UM,number_of_units,number_of_nodes,config,seed,scaled score,improvement,elapsed time (min)
2,402,0.184,4.390008449554443,4.0,,,,,,,,,,0.219047619047619,0.2,0.1333333333333333,0.1809523809523809,0.238095238095238,0.0285714285714285,1,900,4,1,0.9583333333333333,0.0040000000000000036,0.07316680749257405
3,553,0.192,5.91494083404541,18.0,,,,,,,,,,0.2952380952380952,0.238095238095238,0.1142857142857142,0.1142857142857142,0.219047619047619,0.019047619047619,1,900,4,1,1.0,0.008000000000000007,0.09858234723409016
0,100,0.18,1.237617254257202,8.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,4,1,0.9375,0.0,0.02062695423762003
2,400,0.192,4.527811527252197,18.0,,,,,,,,,,0.3076923076923077,0.173076923076923,0.0865384615384615,0.2596153846153846,0.1346153846153846,0.0384615384615384,1,900,4,2,1.0,0.008000000000000007,0.07546352545420329
0,100,0.184,1.323906660079956,4.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,4,2,0.9583333333333333,0.0,0.022065111001332603
1,251,0.192,2.8973889350891118,18.0,,,,,,,,,,0.2095238095238095,0.2095238095238095,0.1523809523809524,0.2,0.1619047619047619,0.0666666666666666,1,900,4,3,1.0,0.014000000000000012,0.04828981558481853
0,100,0.178,1.2369465827941897,10.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,4,3,0.9270833333333333,0.0,0.02061577637990316
0,100,0.192,1.3626937866210938,18.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,4,4,1.0,0.0,0.022711563110351562
0,100,0.008,1.441413640975952,41.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,5,0,1.0,0.0,0.024023560682932533
0,100,0.008,1.3779900074005127,41.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,5,1,1.0,0.0,0.02296650012334188
0,100,0.008,1.3958091735839844,41.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,5,2,1.0,0.0,0.02326348622639974
0,100,0.008,1.4096906185150146,41.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,5,3,1.0,0.0,0.02349484364191691
0,100,0.008,1.3077075481414795,41.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,5,4,1.0,0.0,0.02179512580235799
1,251,0.286,4.2075159549713135,1.0,,,,,,,,,,0.2095238095238095,0.1238095238095238,0.0857142857142857,0.2285714285714285,0.2476190476190476,0.1047619047619047,1,900,6,0,1.0,0.06599999999999998,0.07012526591618856
0,100,0.22,1.3313713073730469,0.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,6,0,0.7692307692307693,0.0,0.022189521789550783
1,251,0.286,3.127382278442383,1.0,,,,,,,,,,0.1428571428571428,0.219047619047619,0.1142857142857142,0.2666666666666666,0.1714285714285714,0.0857142857142857,1,900,6,1,1.0,0.02799999999999997,0.052123037974039714
0,100,0.258,1.3732142448425293,7.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,6,1,0.9020979020979022,0.0,0.02288690408070882
1,251,0.286,3.116158962249756,1.0,,,,,,,,,,0.2666666666666666,0.1333333333333333,0.0666666666666666,0.2476190476190476,0.1904761904761904,0.0952380952380952,1,900,6,2,1.0,0.02799999999999997,0.051935982704162595
0,100,0.258,1.4154047966003418,7.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,6,2,0.9020979020979022,0.0,0.02359007994333903
1,250,0.286,3.3730275630950928,1.0,,,,,,,,,,0.238095238095238,0.1904761904761904,0.0666666666666666,0.0952380952380952,0.3333333333333333,0.0761904761904762,1,900,6,3,1.0,0.02999999999999997,0.05621712605158488
0,100,0.256,1.4026775360107422,18.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,6,3,0.8951048951048952,0.0,0.02337795893351237
1,250,0.286,3.354989767074585,1.0,,,,,,,,,,0.2476190476190476,0.1714285714285714,0.1238095238095238,0.1809523809523809,0.2095238095238095,0.0666666666666666,1,900,6,4,1.0,0.06999999999999998,0.05591649611790975
0,100,0.216,1.4700138568878174,2.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,6,4,0.7552447552447553,0.0,0.02450023094813029
0,100,0.002,1.3989315032958984,13.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,7,0,1.0,0.0,0.02331552505493164
0,100,0.002,1.4147636890411377,13.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,7,1,1.0,0.0,0.023579394817352294
0,100,0.002,1.2799649238586426,13.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,7,2,1.0,0.0,0.021332748730977378
0,100,0.002,1.3398244380950928,13.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,7,3,1.0,0.0,0.02233040730158488
0,100,0.002,1.2623097896575928,13.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,7,4,1.0,0.0,0.021038496494293214
1,250,0.058,2.942814588546753,32.0,,,,,,,,,,0.2761904761904762,0.2,0.0952380952380952,0.2,0.1238095238095238,0.1047619047619047,1,900,8,0,1.0,0.0020000000000000018,0.04904690980911255
0,100,0.056,1.261815071105957,23.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,8,0,0.9655172413793103,0.0,0.021030251185099283
0,100,0.058,1.3331871032714844,32.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,8,1,1.0,0.0,0.02221978505452474
0,100,0.058,1.2620842456817627,32.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,8,2,1.0,0.0,0.021034737428029377
3,553,0.058,6.075870513916016,32.0,,,,,,,,,,0.2285714285714285,0.2095238095238095,0.0857142857142857,0.1904761904761904,0.2285714285714285,0.0571428571428571,1,900,8,3,1.0,0.0020000000000000018,0.10126450856526693
0,100,0.056,1.2686738967895508,23.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,8,3,0.9655172413793103,0.0,0.021144564946492514
0,100,0.058,1.2654545307159424,32.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,8,4,1.0,0.0,0.021090908845265707
1,251,0.058,2.9724667072296143,23.0,,,,,,,,,,0.2666666666666666,0.1619047619047619,0.0666666666666666,0.2095238095238095,0.219047619047619,0.0761904761904762,1,900,9,0,1.0,0.0040000000000000036,0.04954111178716024
0,100,0.054,1.296886682510376,40.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,9,0,0.9310344827586207,0.0,0.0216147780418396
0,100,0.058,1.278057336807251,23.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,9,1,1.0,0.0,0.021300955613454183
0,100,0.058,1.286515712738037,23.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,9,2,1.0,0.0,0.02144192854563395
