,nfe,best_score,elapsed_time,pi_0,pi_1,pi_2,pi_3,pi_4,pi_5,pi_6,pi_7,pi_8,pi_9,probability_SBX,probability_PCX,probability_DE,probability_UNDX,probability_SPX,probability_UM,number_of_units,number_of_nodes,config,seed,scaled score,improvement,elapsed time (min)
88,13273,0.544,14.614606618881226,0.0,1.0,16.0,27.0,51.0,23.0,15.0,18.0,24.0,5.0,0.9245283018867924,0.0377358490566037,0.0094339622641509,0.0094339622641509,0.0094339622641509,0.0094339622641509,10,900,7,2,0.974910394265233,0.006000000000000005,0.24357677698135377
97,14621,0.546,15.907304048538208,0.0,2.0,16.0,34.0,51.0,23.0,15.0,18.0,24.0,4.0,0.9528301886792452,0.0094339622641509,0.0094339622641509,0.0094339622641509,0.0094339622641509,0.0094339622641509,10,900,7,2,0.978494623655914,0.0020000000000000018,0.26512173414230344
102,15373,0.548,16.64793848991394,0.0,2.0,16.0,34.0,51.0,23.0,15.0,18.0,33.0,5.0,0.9433962264150944,0.0188679245283018,0.0094339622641509,0.0094339622641509,0.0094339622641509,0.0094339622641509,10,900,7,2,0.9820788530465949,0.0020000000000000018,0.2774656414985657
145,21814,0.55,22.729724884033203,0.0,12.0,16.0,34.0,51.0,23.0,15.0,18.0,33.0,4.0,0.9056603773584906,0.0188679245283018,0.0188679245283018,0.0094339622641509,0.0094339622641509,0.0377358490566037,10,900,7,2,0.985663082437276,0.0020000000000000018,0.37882874806722006
169,25341,0.552,26.17800736427307,0.0,11.0,16.0,58.0,51.0,23.0,15.0,18.0,24.0,4.0,0.7547169811320755,0.0471698113207547,0.0094339622641509,0.0094339622641509,0.0094339622641509,0.1698113207547169,10,900,7,2,0.989247311827957,0.0020000000000000018,0.43630012273788454
171,25632,0.554,26.45340609550476,0.0,12.0,16.0,58.0,51.0,23.0,15.0,18.0,33.0,4.0,0.7547169811320755,0.0471698113207547,0.0094339622641509,0.0094339622641509,0.0094339622641509,0.1698113207547169,10,900,7,2,0.992831541218638,0.0020000000000000018,0.440890101591746
265,39619,0.558,41.9697380065918,0.0,12.0,16.0,58.0,50.0,33.0,15.0,18.0,33.0,4.0,0.8773584905660378,0.0377358490566037,0.0094339622641509,0.0094339622641509,0.0094339622641509,0.0566037735849056,10,900,7,2,1.0,0.0040000000000000036,0.6994956334431967
0,100,0.396,0.6642134189605713,0.0,3.0,44.0,13.0,41.0,6.0,10.0,22.0,26.0,2.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,10,900,7,2,0.7096774193548386,0.0,0.011070223649342854
1,245,0.406,0.841500997543335,0.0,6.0,156.0,42.0,18.0,19.0,15.0,10.0,31.0,4.0,0.1619047619047619,0.1809523809523809,0.1047619047619047,0.2285714285714285,0.1714285714285714,0.1523809523809524,10,900,7,3,0.7275985663082437,0.010000000000000009,0.01402501662572225
6,975,0.426,1.9034523963928225,0.0,5.0,67.0,58.0,44.0,37.0,4.0,9.0,55.0,2.0,0.5428571428571428,0.1523809523809524,0.0285714285714285,0.1428571428571428,0.0857142857142857,0.0476190476190476,10,900,7,3,0.7634408602150536,0.019999999999999962,0.03172420660654704
7,1125,0.428,2.8195879459381104,0.0,13.0,20.0,52.0,26.0,62.0,0.0,33.0,14.0,7.0,0.6285714285714286,0.1142857142857142,0.0285714285714285,0.0761904761904762,0.1047619047619047,0.0476190476190476,10,900,7,3,0.7670250896057347,0.0020000000000000018,0.04699313243230184
8,1274,0.438,2.967803955078125,0.0,13.0,16.0,52.0,26.0,62.0,0.0,33.0,14.0,7.0,0.6761904761904762,0.1333333333333333,0.0285714285714285,0.0666666666666666,0.0666666666666666,0.0285714285714285,10,900,7,3,0.7849462365591398,0.010000000000000009,0.04946339925130208
9,1423,0.456,3.595161199569702,0.0,1.0,67.0,34.0,28.0,33.0,4.0,29.0,35.0,1.0,0.7169811320754716,0.1226415094339622,0.0377358490566037,0.0566037735849056,0.0377358490566037,0.0283018867924528,10,900,7,3,0.8172043010752688,0.018000000000000016,0.0599193533261617
10,1573,0.486,3.747798442840576,0.0,3.0,31.0,42.0,20.0,17.0,15.0,16.0,31.0,6.0,0.7169811320754716,0.1226415094339622,0.0377358490566037,0.0566037735849056,0.0377358490566037,0.0283018867924528,10,900,7,3,0.8709677419354838,0.02999999999999997,0.06246330738067627
13,2022,0.502,4.1942832469940186,0.0,5.0,17.0,34.0,38.0,33.0,15.0,8.0,31.0,2.0,0.8773584905660378,0.0188679245283018,0.0566037735849056,0.0094339622641509,0.0188679245283018,0.0188679245283018,10,900,7,3,0.8996415770609318,0.016000000000000014,0.06990472078323365
14,2173,0.52,4.352491617202759,0.0,5.0,17.0,34.0,26.0,33.0,15.0,8.0,31.0,2.0,0.9056603773584906,0.0283018867924528,0.0283018867924528,0.0094339622641509,0.0094339622641509,0.0188679245283018,10,900,7,3,0.9318996415770608,0.018000000000000016,0.07254152695337932
18,2773,0.536,4.961278915405273,0.0,7.0,16.0,34.0,26.0,33.0,15.0,30.0,31.0,2.0,0.8867924528301887,0.0094339622641509,0.0754716981132075,0.0094339622641509,0.0094339622641509,0.0094339622641509,10,900,7,3,0.9605734767025089,0.016000000000000014,0.08268798192342122
20,3071,0.54,5.24543571472168,0.0,7.0,16.0,58.0,26.0,33.0,15.0,30.0,31.0,2.0,0.8584905660377359,0.0094339622641509,0.0943396226415094,0.0094339622641509,0.0094339622641509,0.0188679245283018,10,900,7,3,0.967741935483871,0.0040000000000000036,0.08742392857869466
22,3370,0.546,5.523216009140015,0.0,8.0,16.0,58.0,26.0,33.0,15.0,30.0,32.0,2.0,0.8773584905660378,0.0188679245283018,0.0754716981132075,0.0094339622641509,0.0094339622641509,0.0094339622641509,10,900,7,3,0.978494623655914,0.006000000000000005,0.09205360015233358
