,nfe,best_score,elapsed_time,pi_0,pi_1,pi_2,pi_3,pi_4,pi_5,pi_6,pi_7,pi_8,pi_9,probability_SBX,probability_PCX,probability_DE,probability_UNDX,probability_SPX,probability_UM,number_of_nodes,number_of_units,config,seed,improvement,elapsed time (min),scaled score
2,400,0.036,8.43648076057434,63.0,,,,,,,,,,0.1333333333333333,0.2666666666666666,0.0952380952380952,0.1904761904761904,0.238095238095238,0.0761904761904762,957,1,2,1,0.003999999999999997,0.140608012676239,1.0
0,100,0.024,2.3070363998413086,76.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,2,1,0.0,0.03845060666402181,0.6666666666666667
1,251,0.036,5.452396392822266,63.0,,,,,,,,,,0.1904761904761904,0.2095238095238095,0.1523809523809524,0.1047619047619047,0.219047619047619,0.1238095238095238,957,1,2,2,0.005999999999999998,0.09087327321370443,1.0
0,100,0.03,2.315218210220337,53.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,2,2,0.0,0.03858697017033895,0.8333333333333334
0,100,0.036,2.3585727214813232,63.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,2,3,0.0,0.03930954535802205,1.0
1,250,0.036,5.616537094116211,63.0,,,,,,,,,,0.3047619047619048,0.2,0.0666666666666666,0.1428571428571428,0.2095238095238095,0.0761904761904762,957,1,2,4,0.005999999999999998,0.09360895156860352,1.0
0,100,0.03,2.3344240188598637,89.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,2,4,0.0,0.03890706698099773,0.8333333333333334
0,100,0.038,2.3815884590148926,3.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,3,0,0.0,0.039693140983581544,1.0
1,250,0.038,5.248669385910034,3.0,,,,,,,,,,0.1619047619047619,0.2857142857142857,0.1047619047619047,0.1333333333333333,0.2285714285714285,0.0857142857142857,957,1,3,1,0.005999999999999998,0.08747782309850057,1.0
0,100,0.032,2.3244903087615967,6.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,3,1,0.0,0.03874150514602661,0.8421052631578948
1,251,0.038,5.337630748748779,3.0,,,,,,,,,,0.1619047619047619,0.1904761904761904,0.1047619047619047,0.1619047619047619,0.2666666666666666,0.1142857142857142,957,1,3,2,0.005999999999999998,0.08896051247914633,1.0
0,100,0.032,2.321915626525879,4.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,3,2,0.0,0.03869859377543131,0.8421052631578948
1,250,0.038,5.267987251281738,3.0,,,,,,,,,,0.1142857142857142,0.2095238095238095,0.0952380952380952,0.2761904761904762,0.238095238095238,0.0666666666666666,957,1,3,3,0.005999999999999998,0.0877997875213623,1.0
0,100,0.032,2.2431137561798096,6.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,3,3,0.0,0.03738522926966349,0.8421052631578948
0,100,0.038,2.2505528926849365,3.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,3,4,0.0,0.03750921487808227,1.0
0,100,0.006,2.3163020610809326,17.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,4,0,0.0,0.03860503435134888,1.0
0,100,0.006,2.4151275157928467,10.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,4,1,0.0,0.04025212526321411,1.0
0,100,0.006,2.364800214767456,10.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,4,2,0.0,0.03941333691279093,1.0
0,100,0.006,2.4121410846710205,10.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,4,3,0.0,0.040202351411183675,1.0
0,100,0.006,2.4617745876312256,10.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,4,4,0.0,0.041029576460520426,1.0
0,100,0.238,1.9357059001922607,2.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,5,0,0.0,0.032261765003204344,1.0
1,250,0.232,4.499602317810059,45.0,,,,,,,,,,0.2095238095238095,0.219047619047619,0.1333333333333333,0.219047619047619,0.1238095238095238,0.0952380952380952,957,1,5,1,0.08400000000000002,0.07499337196350098,0.9747899159663866
2,400,0.238,7.070976495742798,2.0,,,,,,,,,,0.1809523809523809,0.2857142857142857,0.1047619047619047,0.2571428571428571,0.0952380952380952,0.0761904761904762,957,1,5,1,0.005999999999999978,0.11784960826237996,1.0
0,100,0.148,1.9186334609985352,0.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,5,1,0.0,0.03197722434997559,0.6218487394957983
1,251,0.232,4.618835926055908,45.0,,,,,,,,,,0.2285714285714285,0.2095238095238095,0.1238095238095238,0.1809523809523809,0.1333333333333333,0.1238095238095238,957,1,5,2,0.12400000000000001,0.07698059876759847,0.9747899159663866
3,552,0.238,9.751663446426392,2.0,,,,,,,,,,0.2761904761904762,0.3142857142857143,0.0857142857142857,0.1714285714285714,0.0952380952380952,0.0571428571428571,957,1,5,2,0.005999999999999978,0.16252772410710653,1.0
0,100,0.108,2.169780731201172,8.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,5,2,0.0,0.036163012186686196,0.453781512605042
1,251,0.148,4.523781061172485,0.0,,,,,,,,,,0.238095238095238,0.2857142857142857,0.0761904761904762,0.1238095238095238,0.1904761904761904,0.0857142857142857,957,1,5,3,0.07799999999999999,0.07539635101954142,0.6218487394957983
2,401,0.232,7.106325626373291,45.0,,,,,,,,,,0.2571428571428571,0.3523809523809524,0.1238095238095238,0.1047619047619047,0.1142857142857142,0.0476190476190476,957,1,5,3,0.08400000000000002,0.11843876043955485,0.9747899159663866
3,551,0.238,9.717075824737549,2.0,,,,,,,,,,0.238095238095238,0.4285714285714285,0.1238095238095238,0.0666666666666666,0.1142857142857142,0.0285714285714285,957,1,5,3,0.005999999999999978,0.16195126374562582,1.0
0,100,0.07,2.044248580932617,3.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,5,3,0.0,0.03407080968221029,0.2941176470588236
1,251,0.148,4.831462860107422,0.0,,,,,,,,,,0.238095238095238,0.1619047619047619,0.0380952380952381,0.2095238095238095,0.2857142857142857,0.0666666666666666,957,1,5,4,0.06,0.08052438100179037,0.6218487394957983
3,551,0.238,9.857956647872925,2.0,,,,,,,,,,0.1523809523809524,0.2095238095238095,0.0380952380952381,0.2571428571428571,0.2857142857142857,0.0571428571428571,957,1,5,4,0.09,0.16429927746454875,1.0
0,100,0.088,2.039142847061157,50.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,5,4,0.0,0.033985714117685945,0.3697478991596639
2,401,0.336,7.803613185882568,71.0,,,,,,,,,,0.3047619047619048,0.1809523809523809,0.019047619047619,0.2476190476190476,0.1809523809523809,0.0666666666666666,957,1,6,0,0.04600000000000004,0.13006021976470947,1.0
0,100,0.29,2.125617265701294,84.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,6,0,0.0,0.0354269544283549,0.863095238095238
1,250,0.336,5.02732515335083,71.0,,,,,,,,,,0.1047619047619047,0.2761904761904762,0.0761904761904762,0.2285714285714285,0.2571428571428571,0.0571428571428571,957,1,6,1,0.04600000000000004,0.08378875255584717,1.0
0,100,0.29,2.1163923740386963,84.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,6,1,0.0,0.03527320623397827,0.863095238095238
1,250,0.336,4.985665798187256,71.0,,,,,,,,,,0.1428571428571428,0.2285714285714285,0.1238095238095238,0.2761904761904762,0.1047619047619047,0.1238095238095238,957,1,6,2,0.04600000000000004,0.0830944299697876,1.0
0,100,0.29,2.2326455116271973,84.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,6,2,0.0,0.037210758527119955,0.863095238095238
0,100,0.336,2.272239446640014,71.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,6,3,0.0,0.037870657444000234,1.0
1,251,0.336,5.092580080032349,71.0,,,,,,,,,,0.2,0.1142857142857142,0.0571428571428571,0.238095238095238,0.3333333333333333,0.0571428571428571,957,1,6,4,0.068,0.08487633466720582,1.0
0,100,0.268,2.2200863361358643,38.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,6,4,0.0,0.037001438935597736,0.7976190476190477
1,250,0.386,4.916009187698364,8.0,,,,,,,,,,0.2476190476190476,0.2285714285714285,0.0761904761904762,0.1523809523809524,0.2095238095238095,0.0857142857142857,957,1,7,0,0.10999999999999999,0.08193348646163941,0.8733031674208145
2,401,0.442,7.626362800598144,3.0,,,,,,,,,,0.2,0.238095238095238,0.0761904761904762,0.2095238095238095,0.2285714285714285,0.0476190476190476,957,1,7,0,0.055999999999999994,0.12710604667663572,1.0
0,100,0.276,2.101179599761963,7.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,7,0,0.0,0.035019659996032716,0.6244343891402715
0,100,0.442,2.088827610015869,3.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,7,1,0.0,0.034813793500264485,1.0
2,401,0.442,7.622311592102051,3.0,,,,,,,,,,0.2692307692307692,0.1923076923076923,0.048076923076923,0.1923076923076923,0.2596153846153846,0.0384615384615384,957,1,7,2,0.055999999999999994,0.12703852653503417,1.0
0,100,0.386,2.0890116691589355,8.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,7,2,0.0,0.034816861152648926,0.8733031674208145
2,401,0.442,7.870402097702026,3.0,,,,,,,,,,0.3142857142857143,0.2,0.0571428571428571,0.1333333333333333,0.2666666666666666,0.0285714285714285,957,1,7,3,0.055999999999999994,0.13117336829503376,1.0
0,100,0.386,2.2617554664611816,8.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,7,3,0.0,0.03769592444101969,0.8733031674208145
1,251,0.442,4.897815942764282,3.0,,,,,,,,,,0.2666666666666666,0.1809523809523809,0.1142857142857142,0.0952380952380952,0.2857142857142857,0.0571428571428571,957,1,7,4,0.15800000000000003,0.08163026571273804,1.0
0,100,0.284,2.162170648574829,10.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,7,4,0.0,0.03603617747624715,0.6425339366515836
0,100,0.218,2.32182240486145,3.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,8,0,0.0,0.03869704008102417,1.0
0,100,0.218,2.2841591835021973,3.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,8,1,0.0,0.03806931972503662,1.0
1,250,0.218,5.368977785110474,3.0,,,,,,,,,,0.2285714285714285,0.2571428571428571,0.0952380952380952,0.1714285714285714,0.1428571428571428,0.1047619047619047,957,1,8,2,0.04400000000000001,0.08948296308517456,1.0
0,100,0.174,2.276815414428711,4.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,8,2,0.0,0.037946923573811846,0.7981651376146789
1,250,0.218,5.207157611846924,3.0,,,,,,,,,,0.219047619047619,0.1619047619047619,0.0857142857142857,0.2476190476190476,0.219047619047619,0.0666666666666666,957,1,8,3,0.068,0.08678596019744873,1.0
0,100,0.15,2.259528636932373,8.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,8,3,0.0,0.03765881061553955,0.6880733944954128
0,100,0.218,2.362611055374145,3.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,8,4,0.0,0.03937685092290242,1.0
0,100,0.424,2.494753360748291,3.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,9,0,0.0,0.04157922267913818,1.0
2,401,0.424,8.897064685821533,3.0,,,,,,,,,,0.3076923076923077,0.0961538461538461,0.1153846153846153,0.2307692307692307,0.1923076923076923,0.0576923076923076,957,1,9,1,0.055999999999999994,0.1482844114303589,1.0
0,100,0.368,2.437410593032837,1.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,9,1,0.0,0.04062350988388062,0.8679245283018868
0,100,0.424,2.450139284133911,3.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,9,2,0.0,0.040835654735565184,1.0
1,250,0.424,6.603952884674072,3.0,,,,,,,,,,0.2285714285714285,0.1904761904761904,0.1047619047619047,0.1809523809523809,0.2571428571428571,0.0380952380952381,957,1,9,3,0.055999999999999994,0.11006588141123454,1.0
0,100,0.368,2.447030782699585,1.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,9,3,0.0,0.04078384637832642,0.8679245283018868
3,552,0.424,14.131561994552612,3.0,,,,,,,,,,0.2857142857142857,0.3047619047619048,0.1142857142857142,0.1238095238095238,0.1142857142857142,0.0571428571428571,957,1,9,4,0.03999999999999998,0.23552603324254354,1.0
0,100,0.384,2.630509614944458,15.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,9,4,0.0,0.04384182691574097,0.9056603773584906
3,532,0.06,11.029870510101318,166.0,89.0,,,,,,,,,0.5436893203883495,0.174757281553398,0.058252427184466,0.0776699029126213,0.0679611650485436,0.0776699029126213,957,2,0,0,0.005999999999999998,0.18383117516835532,0.8108108108108109
6,965,0.062,19.636573791503903,249.0,166.0,,,,,,,,,0.6504854368932039,0.1553398058252427,0.0485436893203883,0.058252427184466,0.0485436893203883,0.0388349514563106,957,2,0,0,0.0020000000000000018,0.3272762298583984,0.8378378378378378
7,1108,0.066,22.307350158691406,166.0,10.0,,,,,,,,,0.7378640776699029,0.1067961165048543,0.0388349514563106,0.0485436893203883,0.0388349514563106,0.029126213592233,957,2,0,0,0.0040000000000000036,0.37178916931152345,0.891891891891892
13,1950,0.072,38.10701894760132,166.0,8.0,,,,,,,,,0.8640776699029126,0.0388349514563106,0.0194174757281553,0.0194174757281553,0.0194174757281553,0.0388349514563106,957,2,0,0,0.0059999999999999915,0.635116982460022,0.9729729729729729
16,2379,0.074,46.6157443523407,166.0,73.0,,,,,,,,,0.9150943396226416,0.0188679245283018,0.0188679245283018,0.0188679245283018,0.0094339622641509,0.0188679245283018,957,2,0,0,0.0020000000000000018,0.7769290725390117,1.0
0,100,0.054,2.5057361125946045,34.0,166.0,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,2,0,0,0.0,0.04176226854324341,0.7297297297297297
1,246,0.046,5.6265904903411865,271.0,166.0,,,,,,,,,0.1809523809523809,0.1904761904761904,0.1619047619047619,0.1142857142857142,0.238095238095238,0.1142857142857142,957,2,0,1,0.008,0.09377650817235311,0.6216216216216216
2,392,0.056,8.85036301612854,249.0,171.0,,,,,,,,,0.2857142857142857,0.2476190476190476,0.1238095238095238,0.0761904761904762,0.1714285714285714,0.0952380952380952,957,2,0,1,0.010000000000000002,0.147506050268809,0.7567567567567568
4,680,0.064,15.133102655410768,166.0,88.0,,,,,,,,,0.3904761904761905,0.2571428571428571,0.0571428571428571,0.0857142857142857,0.1142857142857142,0.0952380952380952,957,2,0,1,0.008,0.25221837759017945,0.8648648648648649
10,1541,0.074,32.441529273986816,166.0,73.0,,,,,,,,,0.6226415094339622,0.0849056603773584,0.0188679245283018,0.0188679245283018,0.160377358490566,0.0943396226415094,957,2,0,1,0.009999999999999995,0.5406921545664469,1.0
0,100,0.038,2.529274702072144,247.0,73.0,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,2,0,1,0.0,0.04215457836786907,0.5135135135135135
5,833,0.072,18.192789793014526,166.0,47.0,,,,,,,,,0.396039603960396,0.1683168316831683,0.0495049504950495,0.198019801980198,0.1089108910891089,0.0792079207920792,957,2,0,2,0.021999999999999992,0.3032131632169088,0.9729729729729729
40,5811,0.074,117.12876582145692,166.0,73.0,,,,,,,,,0.9245283018867924,0.0188679245283018,0.0094339622641509,0.0094339622641509,0.0094339622641509,0.0283018867924528,957,2,0,2,0.0020000000000000018,1.952146097024282,1.0
0,100,0.05,2.385226249694824,166.0,69.0,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,2,0,2,0.0,0.03975377082824707,0.6756756756756758
1,245,0.05,5.54466986656189,195.0,166.0,,,,,,,,,0.2857142857142857,0.1333333333333333,0.0952380952380952,0.2,0.1523809523809524,0.1333333333333333,957,2,0,3,0.006000000000000005,0.09241116444269816,0.6756756756756758
2,390,0.052,8.548271656036377,167.0,166.0,,,,,,,,,0.4095238095238095,0.1047619047619047,0.0952380952380952,0.1238095238095238,0.1047619047619047,0.1619047619047619,957,2,0,3,0.001999999999999995,0.14247119426727295,0.7027027027027027
6,947,0.056,19.25271868705749,171.0,19.0,,,,,,,,,0.5047619047619047,0.0666666666666666,0.0857142857142857,0.0571428571428571,0.1142857142857142,0.1714285714285714,957,2,0,3,0.0040000000000000036,0.3208786447842915,0.7567567567567568
7,1085,0.07,21.77632141113281,73.0,166.0,,,,,,,,,0.5047619047619047,0.0666666666666666,0.0857142857142857,0.0571428571428571,0.1142857142857142,0.1714285714285714,957,2,0,3,0.014000000000000005,0.3629386901855468,0.945945945945946
9,1367,0.072,27.10948586463928,166.0,8.0,,,,,,,,,0.7142857142857143,0.019047619047619,0.0285714285714285,0.019047619047619,0.1047619047619047,0.1142857142857142,957,2,0,3,0.001999999999999988,0.45182476441065467,0.9729729729729729
34,4896,0.074,96.8349096775055,166.0,73.0,,,,,,,,,0.9339622641509434,0.0094339622641509,0.0094339622641509,0.0094339622641509,0.0094339622641509,0.0283018867924528,957,2,0,3,0.0020000000000000018,1.6139151612917582,1.0
0,100,0.044,2.377973794937134,149.0,166.0,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,2,0,3,0.0,0.03963289658228556,0.5945945945945946
1,244,0.044,5.244751930236816,133.0,166.0,,,,,,,,,0.1714285714285714,0.2,0.0761904761904762,0.2285714285714285,0.2285714285714285,0.0952380952380952,957,2,0,4,0.009999999999999995,0.08741253217061361,0.5945945945945946
2,389,0.046,8.2828369140625,166.0,167.0,,,,,,,,,0.2095238095238095,0.2571428571428571,0.1047619047619047,0.1714285714285714,0.1428571428571428,0.1142857142857142,957,2,0,4,0.0020000000000000018,0.13804728190104168,0.6216216216216216
4,681,0.052,14.119632005691528,166.0,70.0,,,,,,,,,0.2571428571428571,0.2571428571428571,0.0571428571428571,0.1714285714285714,0.1428571428571428,0.1142857142857142,957,2,0,4,0.005999999999999998,0.2353272000948588,0.7027027027027027
5,826,0.066,17.343353509902954,166.0,12.0,,,,,,,,,0.2095238095238095,0.3523809523809524,0.0571428571428571,0.1333333333333333,0.1428571428571428,0.1047619047619047,957,2,0,4,0.014000000000000005,0.2890558918317159,0.891891891891892
