,nfe,best_score,elapsed_time,pi_0,pi_1,pi_2,pi_3,pi_4,probability_SBX,probability_PCX,probability_DE,probability_UNDX,probability_SPX,probability_UM,number_of_nodes,number_of_units,config,seed,improvement,elapsed time (min),scaled score
9,1425,0.984,1.5008277893066406,22.0,41.0,2.0,13.0,17.0,0.7641509433962265,0.1037735849056603,0.0566037735849056,0.0094339622641509,0.0094339622641509,0.0566037735849056,140,5,0,2,0.0020000000000000018,0.02501379648844401,0.9879518072289156
11,1723,0.996,1.712916135787964,6.0,1.0,2.0,13.0,17.0,0.7924528301886793,0.0754716981132075,0.0660377358490566,0.0094339622641509,0.0094339622641509,0.0471698113207547,140,5,0,2,0.01200000000000001,0.028548602263132734,1.0
0,100,0.742,0.2410564422607422,2.0,0.0,17.0,13.0,77.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,140,5,0,2,0.0,0.0040176073710123696,0.7449799196787149
1,246,0.868,0.3686850070953369,34.0,44.0,10.0,5.0,14.0,0.1142857142857142,0.2666666666666666,0.0952380952380952,0.2095238095238095,0.1523809523809524,0.1619047619047619,140,5,0,3,0.14200000000000002,0.006144750118255615,0.8714859437751004
2,392,0.904,0.5146157741546631,24.0,27.0,1.0,20.0,10.0,0.1904761904761904,0.3714285714285714,0.0761904761904762,0.1619047619047619,0.0666666666666666,0.1333333333333333,140,5,0,3,0.03600000000000003,0.008576929569244385,0.9076305220883535
3,538,0.916,0.6483862400054932,36.0,45.0,10.0,1.0,13.0,0.2571428571428571,0.4,0.0476190476190476,0.1238095238095238,0.0285714285714285,0.1428571428571428,140,5,0,3,0.01200000000000001,0.010806437333424885,0.9196787148594378
4,686,0.926,0.775933027267456,24.0,27.0,2.0,17.0,12.0,0.3142857142857143,0.419047619047619,0.0285714285714285,0.0952380952380952,0.019047619047619,0.1238095238095238,140,5,0,3,0.010000000000000009,0.012932217121124268,0.929718875502008
5,832,0.964,0.9150264263153076,19.0,11.0,2.0,13.0,10.0,0.3396226415094339,0.4622641509433962,0.0283018867924528,0.0566037735849056,0.0188679245283018,0.0943396226415094,140,5,0,3,0.03799999999999992,0.01525044043858846,0.967871485943775
6,977,0.972,1.0357189178466797,20.0,28.0,2.0,18.0,11.0,0.3396226415094339,0.4622641509433962,0.0283018867924528,0.0566037735849056,0.0188679245283018,0.0943396226415094,140,5,0,3,0.008000000000000007,0.017261981964111328,0.9759036144578314
8,1270,0.984,1.2881240844726562,34.0,13.0,1.0,13.0,10.0,0.5,0.3867924528301887,0.0094339622641509,0.0094339622641509,0.0188679245283018,0.0754716981132075,140,5,0,3,0.01200000000000001,0.021468734741210936,0.9879518072289156
10,1565,0.988,1.552178144454956,34.0,15.0,2.0,13.0,11.0,0.5849056603773585,0.3018867924528302,0.0094339622641509,0.0094339622641509,0.0188679245283018,0.0754716981132075,140,5,0,3,0.0040000000000000036,0.025869635740915935,0.9919678714859438
12,1857,0.994,1.780778408050537,20.0,19.0,2.0,13.0,11.0,0.6226415094339622,0.2358490566037736,0.0094339622641509,0.0094339622641509,0.0188679245283018,0.1037735849056603,140,5,0,3,0.006000000000000005,0.02967964013417562,0.9979919678714859
27,4064,0.996,3.781132459640503,20.0,19.0,2.0,13.0,6.0,0.8773584905660378,0.0377358490566037,0.0283018867924528,0.0094339622641509,0.0094339622641509,0.0377358490566037,140,5,0,3,0.0020000000000000018,0.06301887432734171,1.0
0,100,0.726,0.2051975727081298,72.0,32.0,27.0,3.0,15.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,140,5,0,3,0.0,0.003419959545135497,0.7289156626506024
1,244,0.778,0.4207105636596679,41.0,9.0,9.0,13.0,58.0,0.2,0.2285714285714285,0.1333333333333333,0.1523809523809524,0.1523809523809524,0.1333333333333333,140,5,0,4,0.07200000000000006,0.007011842727661132,0.7811244979919679
2,390,0.894,0.615225076675415,24.0,19.0,2.0,57.0,3.0,0.3142857142857143,0.2571428571428571,0.1428571428571428,0.1238095238095238,0.0666666666666666,0.0952380952380952,140,5,0,4,0.11599999999999999,0.010253751277923584,0.8975903614457832
3,537,0.906,0.7356016635894775,8.0,42.0,2.0,29.0,25.0,0.4095238095238095,0.3047619047619048,0.1142857142857142,0.0666666666666666,0.0476190476190476,0.0571428571428571,140,5,0,4,0.01200000000000001,0.012260027726491292,0.9096385542168675
5,835,0.91,1.0015044212341309,51.0,14.0,3.0,2.0,34.0,0.4716981132075472,0.3773584905660377,0.0754716981132075,0.0283018867924528,0.0283018867924528,0.0188679245283018,140,5,0,4,0.0040000000000000036,0.016691740353902182,0.9136546184738956
6,985,0.922,1.120300054550171,24.0,18.0,2.0,22.0,7.0,0.4716981132075472,0.3773584905660377,0.0754716981132075,0.0283018867924528,0.0283018867924528,0.0188679245283018,140,5,0,4,0.01200000000000001,0.01867166757583618,0.92570281124498
7,1135,0.934,1.2326407432556152,13.0,11.0,2.0,28.0,19.0,0.5660377358490566,0.2641509433962264,0.1037735849056603,0.0283018867924528,0.0094339622641509,0.0283018867924528,140,5,0,4,0.01200000000000001,0.020544012387593586,0.9377510040160643
8,1283,0.964,1.3432068824768066,0.0,0.0,2.0,22.0,20.0,0.5754716981132075,0.2735849056603773,0.0943396226415094,0.0094339622641509,0.0094339622641509,0.0377358490566037,140,5,0,4,0.029999999999999916,0.022386781374613442,0.967871485943775
10,1584,0.974,1.585850477218628,21.0,16.0,2.0,3.0,20.0,0.6320754716981132,0.1981132075471698,0.1037735849056603,0.0094339622641509,0.0094339622641509,0.0471698113207547,140,5,0,4,0.010000000000000009,0.026430841286977133,0.9779116465863453
12,1883,0.976,1.8002433776855469,0.0,0.0,2.0,18.0,20.0,0.6886792452830188,0.1132075471698113,0.1132075471698113,0.0094339622641509,0.0283018867924528,0.0471698113207547,140,5,0,4,0.0020000000000000018,0.030004056294759114,0.9799196787148594
13,2034,0.996,1.9282138347625728,5.0,19.0,2.0,13.0,17.0,0.6886792452830188,0.1320754716981132,0.1132075471698113,0.0094339622641509,0.0283018867924528,0.0283018867924528,140,5,0,4,0.020000000000000018,0.03213689724604288,1.0
0,100,0.706,0.2039120197296142,37.0,23.0,34.0,9.0,1.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,140,5,0,4,0.0,0.003398533662160237,0.7088353413654618
1,242,0.554,0.3575882911682129,8.0,1.0,14.0,20.0,1.0,0.1333333333333333,0.1904761904761904,0.1047619047619047,0.2761904761904762,0.1809523809523809,0.1142857142857142,140,5,1,0,0.07400000000000007,0.005959804852803548,0.7630853994490359
3,538,0.572,0.6441671848297119,59.0,1.0,14.0,16.0,1.0,0.1619047619047619,0.3333333333333333,0.0952380952380952,0.1523809523809524,0.1714285714285714,0.0857142857142857,140,5,1,0,0.017999999999999905,0.010736119747161866,0.7878787878787878
4,685,0.628,0.7648730278015137,27.0,1.0,45.0,5.0,0.0,0.219047619047619,0.3142857142857143,0.0952380952380952,0.1142857142857142,0.1523809523809524,0.1047619047619047,140,5,1,0,0.05600000000000005,0.012747883796691895,0.8650137741046833
6,978,0.644,1.019928216934204,27.0,1.0,45.0,3.0,1.0,0.2285714285714285,0.3238095238095238,0.0857142857142857,0.0952380952380952,0.1523809523809524,0.1142857142857142,140,5,1,0,0.016000000000000014,0.016998803615570067,0.8870523415977962
7,1124,0.666,1.138103723526001,27.0,1.0,42.0,3.0,1.0,0.2924528301886792,0.3679245283018867,0.0660377358490566,0.0377358490566037,0.1132075471698113,0.1226415094339622,140,5,1,0,0.02200000000000002,0.018968395392100015,0.9173553719008265
12,1865,0.67,1.8068437576293943,27.0,1.0,48.0,2.0,0.0,0.3679245283018867,0.4150943396226415,0.0471698113207547,0.0188679245283018,0.0094339622641509,0.1415094339622641,140,5,1,0,0.0040000000000000036,0.03011406262715657,0.9228650137741048
13,2012,0.674,1.9217422008514404,27.0,1.0,42.0,2.0,1.0,0.2830188679245283,0.5,0.0283018867924528,0.0094339622641509,0.0094339622641509,0.1698113207547169,140,5,1,0,0.0040000000000000036,0.03202903668085734,0.928374655647383
14,2154,0.68,2.0692453384399414,27.0,1.0,49.0,2.0,1.0,0.330188679245283,0.5,0.0283018867924528,0.0094339622641509,0.0094339622641509,0.1226415094339622,140,5,1,0,0.006000000000000005,0.03448742230733236,0.9366391184573004
16,2447,0.684,2.334263324737549,27.0,1.0,32.0,2.0,1.0,0.320754716981132,0.5377358490566038,0.0188679245283018,0.0094339622641509,0.0094339622641509,0.1037735849056603,140,5,1,0,0.0040000000000000036,0.038904388745625816,0.9421487603305786
45,6765,0.688,7.324464797973633,16.0,1.0,28.0,2.0,0.0,0.6037735849056604,0.3490566037735849,0.0094339622641509,0.0094339622641509,0.0094339622641509,0.0188679245283018,140,5,1,0,0.0039999999999998925,0.12207441329956055,0.9476584022038567
0,100,0.48,0.2105627059936523,74.0,0.0,10.0,16.0,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,140,5,1,0,0.0,0.003509378433227538,0.6611570247933884
7,1135,0.64,1.2224161624908447,1.0,0.0,36.0,16.0,0.0,0.2828282828282828,0.4141414141414141,0.0606060606060606,0.0404040404040404,0.1717171717171717,0.0303030303030303,140,5,1,1,0.010000000000000009,0.020373602708180744,0.8815426997245179
9,1432,0.658,1.492668390274048,8.0,0.0,38.0,16.0,0.0,0.2929292929292929,0.4747474747474747,0.101010101010101,0.0101010101010101,0.0808080808080808,0.0404040404040404,140,5,1,1,0.018000000000000016,0.024877806504567467,0.90633608815427
10,1582,0.666,1.6156747341156006,3.0,0.0,45.0,16.0,0.0,0.2929292929292929,0.4747474747474747,0.101010101010101,0.0101010101010101,0.0808080808080808,0.0404040404040404,140,5,1,1,0.008000000000000007,0.02692791223526001,0.9173553719008265
11,1731,0.69,1.7599260807037354,3.0,1.0,49.0,16.0,0.0,0.2424242424242424,0.6060606060606061,0.0808080808080808,0.0101010101010101,0.0303030303030303,0.0303030303030303,140,5,1,1,0.02399999999999991,0.029332101345062256,0.9504132231404958
12,1880,0.712,1.8801345825195312,2.0,1.0,38.0,16.0,0.0,0.2727272727272727,0.5959595959595959,0.0707070707070707,0.0101010101010101,0.0101010101010101,0.0404040404040404,140,5,1,1,0.02200000000000002,0.03133557637532552,0.9807162534435262
14,2179,0.722,2.351130723953247,2.0,0.0,20.0,16.0,0.0,0.3113207547169811,0.5471698113207547,0.0660377358490566,0.0094339622641509,0.0094339622641509,0.0566037735849056,140,5,1,1,0.010000000000000009,0.039185512065887454,0.9944903581267217
19,2928,0.726,2.9640841484069824,2.0,0.0,32.0,16.0,0.0,0.5094339622641509,0.4056603773584906,0.0188679245283018,0.0094339622641509,0.0094339622641509,0.0471698113207547,140,5,1,1,0.0040000000000000036,0.04940140247344971,1.0
