,nfe,best_score,elapsed_time,pi_0,pi_1,pi_2,pi_3,pi_4,pi_5,pi_6,pi_7,pi_8,pi_9,probability_SBX,probability_PCX,probability_DE,probability_UNDX,probability_SPX,probability_UM,number_of_nodes,number_of_units,config,seed,improvement,elapsed time (min),scaled score
1,251,0.034,0.3135511875152588,47.0,,,,,,,,,,0.2761904761904762,0.1047619047619047,0.0761904761904762,0.2285714285714285,0.2285714285714285,0.0857142857142857,957,1,2,0,0.0020000000000000018,0.005225853125254313,0.9444444444444445
6,1002,0.036,0.8267862796783447,63.0,,,,,,,,,,0.2,0.1142857142857142,0.0571428571428571,0.2476190476190476,0.2761904761904762,0.1047619047619047,957,1,2,0,0.001999999999999995,0.013779771327972413,1.0
0,100,0.032,0.1956801414489746,125.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,2,0,0.0,0.0032613356908162434,0.888888888888889
1,250,0.036,0.3734869956970215,63.0,,,,,,,,,,0.238095238095238,0.1523809523809524,0.1142857142857142,0.219047619047619,0.2,0.0761904761904762,957,1,2,1,0.003999999999999997,0.006224783261617025,1.0
0,100,0.032,0.207446813583374,74.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,2,1,0.0,0.0034574468930562334,0.888888888888889
1,250,0.036,0.3837120532989502,63.0,,,,,,,,,,0.1047619047619047,0.2095238095238095,0.1428571428571428,0.3047619047619048,0.1142857142857142,0.1238095238095238,957,1,2,2,0.001999999999999995,0.006395200888315837,1.0
0,100,0.034,0.210252046585083,118.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,2,2,0.0,0.00350420077641805,0.9444444444444445
2,401,0.036,0.3917031288146972,63.0,,,,,,,,,,0.2095238095238095,0.1904761904761904,0.0476190476190476,0.2761904761904762,0.238095238095238,0.0380952380952381,957,1,2,3,0.001999999999999995,0.0065283854802449534,1.0
0,100,0.034,0.2058184146881103,118.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,2,3,0.0,0.003430306911468505,0.9444444444444445
1,251,0.034,0.3542861938476562,118.0,,,,,,,,,,0.0952380952380952,0.1904761904761904,0.0761904761904762,0.2476190476190476,0.3142857142857143,0.0761904761904762,957,1,2,4,0.0020000000000000018,0.005904769897460937,0.9444444444444445
3,552,0.036,0.6144611835479736,63.0,,,,,,,,,,0.0952380952380952,0.2857142857142857,0.0666666666666666,0.3047619047619048,0.2285714285714285,0.019047619047619,957,1,2,4,0.001999999999999995,0.01024101972579956,1.0
0,100,0.032,0.208949327468872,64.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,2,4,0.0,0.0034824887911478666,0.888888888888889
3,552,0.05,0.6194367408752441,6.0,,,,,,,,,,0.238095238095238,0.3333333333333333,0.1142857142857142,0.0761904761904762,0.1809523809523809,0.0571428571428571,957,1,3,0,0.010000000000000002,0.01032394568125407,1.0
0,100,0.04,0.2032127380371093,3.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,3,0,0.0,0.003386878967285155,0.7999999999999999
2,401,0.05,0.5471177101135254,6.0,,,,,,,,,,0.1809523809523809,0.2285714285714285,0.0571428571428571,0.1619047619047619,0.2761904761904762,0.0952380952380952,957,1,3,1,0.010000000000000002,0.00911862850189209,1.0
0,100,0.04,0.2082138061523437,3.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,3,1,0.0,0.0034702301025390614,0.7999999999999999
